LOAN_SK,LOAN_NUMBER,LOAN_TYPE,LOAN_STATUS,INTEREST_RATE,CURRENCY_OF_COMMITMENT,EFFECTIVE_START_DATE,EFFECTIVE_END_DATE,IS_CURRENT,RECORD_HASH
4421836648868869951,IBRD16970,NPL,Fully Repaid,7.9,US,2025-12-01,,true,7015897035076255476
7483047913300964945,IBRD11860,NPL,Fully Repaid,8.5,US,2025-12-01,,true,8227289102536791995
8131198363423416997,IBRD20680,CPL,Fully Repaid,11.6,US,2025-12-01,,true,2320340514338386097
4062534066195935984,IBRD41790,SCL,Fully Repaid,1.9,US,2025-12-01,,true,6215281013973739141
2364994883990352871,IBRD05340,NPL,Fully Repaid,0,US,2025-12-01,,true,8289965102845880150
6707397104722638588,IBRD3752S,SCPD,Fully Repaid,2.94,US,2025-12-01,,true,7473539632839611961
2581417889072901142,IBRD21310,CPL,Fully Repaid,11.6,US,2025-12-01,,true,8170359182625252637
6964749550356462243,IBRD92250,FSL,Fully Disbursed,0,US,2025-12-01,,true,7180045262448675640
7319905198242864329,IBRD11340,NPL,Fully Repaid,8.5,US,2025-12-01,,true,6643087422913940871
8189590570052877356,IBRD43080,SCL,Fully Repaid,0,US,2025-12-01,,true,8839510220044058060
472761889772739345,IBRD15580,NPL,Fully Repaid,7.5,US,2025-12-01,,true,9103408834237944588
5092472004844686349,IBRD04450,NPL,Fully Repaid,6,US,2025-12-01,,true,5110434140401037315
5925927157027706712,IBRD02360,NPL,Fully Repaid,0,US,2025-12-01,,true,7102811924691604726
6274456207674633294,IBRD41460,CPL,Fully Repaid,5.43,US,2025-12-01,,true,3449118997514084215
4046700520554592271,IBRD29970,CPL,Fully Repaid,6.03,US,2025-12-01,,true,6022515266984622355
4702069671181136906,IBRD92740,FSL,Disbursing,0,US,2025-12-01,,true,8905119103058503797
3625578002549090294,IBRD3156S,SCPM,Fully Repaid,2.57,US,2025-12-01,,true,7490257578720355085
3317807405766525615,IBRD2431S,SCPD,Fully Repaid,5.31,US,2025-12-01,,true,8562755377236437677
6176823461580190755,IBRD28420,CPL,Fully Repaid,4.62,US,2025-12-01,,true,3985749832750969449
3779553684962724677,IBRD37330,CPL,Fully Repaid,7.8,US,2025-12-01,,true,5609965559937302251
177327945149556824,IBRD15265,CPL,Fully Repaid,7.45,US,2025-12-01,,true,3560197266371035890
5928005532909524223,IBRD3085S,SCPD,Fully Repaid,5.98,US,2025-12-01,,true,3645632784941931841
6709821399104195665,IBRD22760,CPL,Fully Repaid,3.8,US,2025-12-01,,true,2867347433384349095
6394724192359904151,IBRD76100,FSL,Repaying,0,US,2025-12-01,,true,7562142757821902692
3106184172652530239,IBRD26070,CPL,Fully Repaid,4.84,US,2025-12-01,,true,6285586274371757352
3901034890043795351,IBRD44870,CPL,Fully Repaid,2.56,US,2025-12-01,,true,3616786623862228337
7197307126155572643,IBRD42970,SCL,Fully Repaid,0.39,US,2025-12-01,,true,8522552628345455210
7637568254112627476,IBRD72200,FSL,Fully Repaid,0,US,2025-12-01,,true,5780960822280466161
5095626293738037163,IBRD08200,NPL,Fully Repaid,7.25,US,2025-12-01,,true,3111740347306904235
1069367429916040009,IBRD71590,FSL,Fully Repaid,0,US,2025-12-01,,true,6127851088093528360
7396456736112575063,IBRD80300,FSL,Repaying,0,US,2025-12-01,,true,8335447931281947381
4836307647073570089,IBRD87790,FSL,Disbursing,0,US,2025-12-01,,true,7473623350392406790
3319486314210128592,IBRD71360,FSL,Fully Repaid,0,US,2025-12-01,,true,2893486550577905936
4250078231144496204,IBRD29920,CPL,Fully Repaid,6.03,US,2025-12-01,,true,6017055612817854823
3150128804999498492,IBRD71600,FSL,Fully Repaid,0,US,2025-12-01,,true,3455827505638920625
6736223649836504108,IBRD12720,NPL,Fully Repaid,8.5,US,2025-12-01,,true,2455440039998876985
368661550998717225,IBRD31030,CPL,Fully Repaid,7.96,US,2025-12-01,,true,6610047043421973750
5302844156112000334,IBRD95220,FSL,Disbursing,0,US,2025-12-01,,true,6586759336749788918
4204719328459946350,IBRD26990,CPL,Fully Repaid,5.03,US,2025-12-01,,true,7375162006265228174
5935470155167919507,IBRD70880,FSL,Repaying,0,US,2025-12-01,,true,3216368207468490671
8298537508431029106,IBRD92700,FSL,Repaying,0,US,2025-12-01,,true,5522446899620386915
981068159873676011,IBRD3490S,SCPD,Fully Repaid,4.17,US,2025-12-01,,true,4330438138654513888
5609221612569720040,IBRD3902S,SCPD,Fully Repaid,7.02,US,2025-12-01,,true,6608136546310378401
3785637512551145114,IBRD2960S,SCPD,Fully Repaid,6.61,US,2025-12-01,,true,7157637240659687044
3286910541671453966,IBRD18730,NPL,Fully Repaid,8.25,US,2025-12-01,,true,6458895104788868466
8114882569957384866,IBRD93220,FSL,Fully Disbursed,0,US,2025-12-01,,true,5527061883617318360
1636095812521603814,IBRD22660,CPL,Fully Repaid,4.85,US,2025-12-01,,true,861223430012106127
1083516791643854046,IBRD34320,CPL,Fully Repaid,5.59,US,2025-12-01,,true,210831649413290282
474136268997340381,IBRD84920,FSL,Repaying,0,US,2025-12-01,,true,1339654114150974970
4487078400793888287,IBRD33860,CPL,Fully Repaid,7.54,US,2025-12-01,,true,6239671970339769242
7296110843632748027,IBRD30610,CPL,Fully Repaid,4.11,US,2025-12-01,,true,1725584456632303822
3735527991695931370,IBRD18420,NPL,Fully Repaid,8.25,US,2025-12-01,,true,750714582594268753
583332237190225798,IBRD11490,NPL,Fully Repaid,8.5,US,2025-12-01,,true,7829049731796389408
798492764351180262,IBRD82230,FSL,Fully Disbursed,0,US,2025-12-01,,true,1879144849277504540
844444001517181686,IBRD3484S,SCPD,Fully Repaid,7.02,US,2025-12-01,,true,7826383441682902374
3715828681675062083,IBRD32680,CPL,Fully Repaid,6.18,US,2025-12-01,,true,7663853453778595063
6030541340675936346,IBRD47310,SCL,Fully Repaid,1.28,US,2025-12-01,,true,2902353069413060544
3684709540032833043,IBRD08110,NPL,Fully Repaid,7.25,US,2025-12-01,,true,8224492742510774128
195830038908758972,IBRD93330,FSL,Fully Disbursed,0,US,2025-12-01,,true,1652807090212503226
1321966815113747964,IBRD08910,NPL,Fully Repaid,7.25,US,2025-12-01,,true,5843712871499165181
8287374946814043355,IBRD33080,CPL,Fully Repaid,5.59,US,2025-12-01,,true,1505585343975146343
8325693648822118054,IBRD30970,CPL,Fully Repaid,6.03,US,2025-12-01,,true,7335286374975937897
5104033314375975243,IBRD18340,NPL,Fully Repaid,8.25,US,2025-12-01,,true,5950354184620275197
4463065648803565315,IBRD75580,FSL,Repaying,0,US,2025-12-01,,true,58076171604572265
3417064183815021371,IBRD16070,NPL,Fully Repaid,7.5,US,2025-12-01,,true,5112543664082232723
9210299279042524721,IBRD93290,FSL,Disbursing,0,US,2025-12-01,,true,5761777597337624854
9037699474811261296,IBRD45750,SCL,Fully Repaid,3.19,US,2025-12-01,,true,5690423624613410653
2497764123416311456,IBRD25480,CPL,Fully Repaid,5.11,US,2025-12-01,,true,1124234554481761338
1987449136756064878,IBRD09050,NPL,Fully Repaid,7.25,US,2025-12-01,,true,3478858747828327611
390366792958324809,IBRD30440,CPL,Fully Repaid,6.36,US,2025-12-01,,true,1769880138396372484
397139732293001082,IBRD26240,CPL,Fully Repaid,5.02,US,2025-12-01,,true,1562192398144414361
7089849605267215746,IBRD31070,CPL,Fully Repaid,1.62,US,2025-12-01,,true,3069177487683737958
8183724417303858871,IBRD31800,CPL,Fully Repaid,4.62,US,2025-12-01,,true,740083088772580262
1440123085362324117,IBRD77790,FSL,Repaying,0,US,2025-12-01,,true,3695773092066647726
7783305466893517644,IBRD2432S,SCPD,Fully Repaid,7.97,US,2025-12-01,,true,6298300440232961244
1796474229870239191,IBRD31530,CPL,Fully Repaid,5.59,US,2025-12-01,,true,5188305414598669621
4076598666661188603,IBRD80900,FSL,Repaying,0,US,2025-12-01,,true,6798335837064751938
7308248785553098548,IBRD47510,SCL,Repaying,5.51,US,2025-12-01,,true,4981112477670821989
8765903248348452010,IBRD93800,FSL,Fully Disbursed,0,US,2025-12-01,,true,31618734669748109
4279375445776861687,IBRD24260,CPL,Fully Repaid,6.18,US,2025-12-01,,true,478691550148744986
7051127693717362287,IBRD96010,FSL,Signed,0,US,2025-12-01,,true,4116281272364681616
3465731131249419688,IBRD2966S,SCPD,Fully Repaid,7.97,US,2025-12-01,,true,2770658125160158200
215651690649231311,IBRD93120,FSL,Fully Disbursed,0,US,2025-12-01,,true,4145052066895741498
947968389458373164,IBRD35480,CPL,Fully Repaid,7.43,US,2025-12-01,,true,7173941225585064880
7420936766463833352,IBRD33460,CPL,Fully Repaid,6.18,US,2025-12-01,,true,6633737709689584177
6515025497940459362,IBRD82680,FSL,Repaying,0,US,2025-12-01,,true,60111429879001633
5199499217987358450,IBRD19290,CPL,Fully Repaid,9.25,US,2025-12-01,,true,6088224368697330279
7006058168397097521,IBRD34460,CPL,Fully Repaid,4.85,US,2025-12-01,,true,7490672644373952320
2729453568555670821,IBRD34850,CPL,Fully Repaid,6.82,US,2025-12-01,,true,1996335484467503820
4940869386510777677,IBRDB1160,GURB,Fully Cancelled,0,US,2025-12-01,,true,2869003074739491657
2723599785228257068,IBRD31000,CPL,Fully Repaid,4.11,US,2025-12-01,,true,3665026413889007810
2312663144438221825,IBRD3618A,SCL,Fully Repaid,0.66,US,2025-12-01,,true,8615473108874816457
108980080820819757,IBRD25230,CPL,Fully Repaid,5.11,US,2025-12-01,,true,5335104342540013061
5915198051546406815,IBRD23268,CPL,Fully Repaid,6.18,US,2025-12-01,,true,7860405257625976700
8001307906062217438,IBRD3346S,SCPD,Fully Repaid,6.14,US,2025-12-01,,true,9032884304405900548
5068305672441878485,IBRD22310,CPL,Fully Repaid,4.62,US,2025-12-01,,true,8641793498985967635
1826672775131062414,IBRD3358A,SCL,Fully Repaid,0,US,2025-12-01,,true,2159927125664627280
8862286236939363002,IBRD47370,SCL,Fully Repaid,0.22,US,2025-12-01,,true,3007021297299089851
6039320477156391394,IBRD32090,CPL,Fully Repaid,6.18,US,2025-12-01,,true,8946606555541996058
4949659016566890909,IBRD79920,FSL,Repaying,0,US,2025-12-01,,true,5426632947329215661
8285021429036185100,IBRD3732S,SCPD,Fully Repaid,2.63,US,2025-12-01,,true,2419499430587739487
4836344677229025011,IBRD90470,FSL,Fully Disbursed,0,US,2025-12-01,,true,5734364590405282914
7234285322685298267,IBRD3328A,SCL,Fully Repaid,0,US,2025-12-01,,true,8487663627857447583
2028360187826340503,IBRD15359,NPL,Fully Repaid,7.45,US,2025-12-01,,true,1381162452460723094
990633081918660742,IBRD02500,NPL,Fully Repaid,6,US,2025-12-01,,true,5112210213536867536
779233176724567849,IBRD20110,CPL,Fully Repaid,9.6,US,2025-12-01,,true,148233955969158898
3481831214215481388,IBRD3936E,CPL,Fully Repaid,8.24,US,2025-12-01,,true,3150726461143261755
7642657716397097698,IBRD06140,NPL,Fully Repaid,6.5,US,2025-12-01,,true,8308027246895965474
1763658434278982740,IBRD13680,NPL,Fully Repaid,8.5,US,2025-12-01,,true,6462402303892518789
5301259654810518908,IBRD89670,FSL,Fully Disbursed,0,US,2025-12-01,,true,6322322261719939679
7563174353549400017,IBRD86860,FSL,Fully Repaid,0,US,2025-12-01,,true,2012471606341900988
5052154628049269754,IBRD39136,SCL,Fully Repaid,0,US,2025-12-01,,true,2194231265532846026
7188400114555100203,IBRD41950,SCL,Fully Repaid,0.69,US,2025-12-01,,true,8189278744969765200
2799650029919115894,IBRD82490,FSL,Repaying,0,US,2025-12-01,,true,8241253105417375500
8714460412877723542,IBRD32030,CPL,Fully Repaid,4.84,US,2025-12-01,,true,5488535779867469420
891640716801093509,IBRD18450,NPL,Fully Repaid,8.25,US,2025-12-01,,true,4194335054293615965
8970514649934396489,IBRD19540,CPL,Fully Repaid,9.6,US,2025-12-01,,true,6651754208113483602
2453619502242850822,IBRD13230,NPL,Fully Repaid,8.9,US,2025-12-01,,true,8856324094520291069
5558769173611087081,IBRD31890,CPL,Fully Repaid,6.03,US,2025-12-01,,true,6816187783228358183
4477644297022405622,IBRD10830,NPL,Fully Repaid,8,US,2025-12-01,,true,441401897164003183
6469787407738349939,IBRD25650,CPL,Fully Repaid,5.02,US,2025-12-01,,true,7794425817358055296
5313491371567238426,IBRD41180,SCL,Fully Repaid,0.6,US,2025-12-01,,true,767461725308489863
1548892818063755068,IBRD3171S,SCPM,Fully Repaid,3.47,US,2025-12-01,,true,2586624643974836192
8441414577754826629,IBRD14776,NPL,Fully Repaid,8.2,US,2025-12-01,,true,409587334408499361
7356838144511925548,IBRD00120,NPL,Fully Repaid,4.5,US,2025-12-01,,true,2323189187829111273
6352894250007293829,IBRD44010,SCL,Fully Repaid,2.76,US,2025-12-01,,true,6540105234342023291
3741364370432862710,IBRD18050,NPL,Fully Repaid,8.25,US,2025-12-01,,true,5221252250028355479
4031822262296728139,IBRD30420,CPL,Fully Repaid,6.03,US,2025-12-01,,true,5952652788426227767
6175390227041200566,IBRD83980,FSL,Repaying,0,US,2025-12-01,,true,8094670220004409647
9005740176261078862,IBRD3743A,SCL,Fully Repaid,0,US,2025-12-01,,true,7143269760547713006
6128175183192139531,IBRD05770,NPL,Fully Repaid,6.5,US,2025-12-01,,true,834331937150476889
3155142907584238295,IBRD16990,NPL,Fully Repaid,7.9,US,2025-12-01,,true,8536633187509295083
4356481882831733905,IBRD19570,CPL,Fully Repaid,9.6,US,2025-12-01,,true,5046132210381230213
4956789852109835936,IBRD39900,CPL,Fully Repaid,2.15,US,2025-12-01,,true,6800347180461583373
9037068246578770588,IBRD17030,NPL,Fully Repaid,7.9,US,2025-12-01,,true,4004466286295946157
3002489603298544699,IBRD91230,FSL,Fully Disbursed,0,US,2025-12-01,,true,311623064685436161
2087403252998526048,IBRD44630,SCL,Fully Repaid,0,US,2025-12-01,,true,1276028680850194639
3084771096967701271,IBRD33810,CPL,Fully Repaid,7.43,US,2025-12-01,,true,1516312006757867283
4228692483047725559,IBRD3132S,SCPY,Fully Repaid,0.6,US,2025-12-01,,true,5256933767179483126
6641799876306688038,IBRD3635A,SCL,Fully Repaid,0,US,2025-12-01,,true,7007501406021471708
1988945449738644376,IBRD34420,CPL,Fully Repaid,6.03,US,2025-12-01,,true,7400512317676750842
5435351199361086918,IBRD77420,FSL,Repaying,0,US,2025-12-01,,true,5102992880152905840
5814132165076384765,IBRD34040,CPL,Fully Repaid,4.62,US,2025-12-01,,true,7600987614614927475
7019803781440184292,IBRD3838A,SCL,Fully Repaid,0,US,2025-12-01,,true,6857742872625606600
8433615337837291026,IBRD2717S,SCPD,Fully Repaid,5.98,US,2025-12-01,,true,3512558200877983753
7521759767860530345,IBRD75100,FSL,Fully Repaid,0,US,2025-12-01,,true,5976097787845603286
4842307448101458023,IBRD11930,NPL,Fully Repaid,8.5,US,2025-12-01,,true,7020444392709228856
8534785198940659931,IBRD87920,FSL,Disbursing&Repaying,0,US,2025-12-01,,true,6011605628245637686
8710685602629101644,IBRD16560,NPL,Fully Repaid,7,US,2025-12-01,,true,186572632693373061
7938401415174567798,IBRD3169S,SCPD,Fully Repaid,4.81,US,2025-12-01,,true,6365467750720816620
6504809436734719182,IBRD28510,CPL,Fully Repaid,4.59,US,2025-12-01,,true,3468146664301133174
5769147000560937278,IBRD3501S,SCPD,Fully Repaid,4.17,US,2025-12-01,,true,8428773090800041371
8085308261849405212,IBRD4025A,SCL,Fully Repaid,0.2,US,2025-12-01,,true,876888381304394311
5303043610458833126,IBRD78810,FSL,Repaying,0,US,2025-12-01,,true,7865000167329270098
4497822662723137721,IBRD31790,CPL,Repaying,6.22,US,2025-12-01,,true,505059166678675535
284772338080718361,IBRD00710,NPL,Fully Repaid,4.75,US,2025-12-01,,true,4129446239067385076
6087720172194895917,IBRD81190,FSL,Fully Repaid,0,US,2025-12-01,,true,3168286371905761877
125011901704573202,IBRD05590,NPL,Fully Repaid,6.5,US,2025-12-01,,true,5609260614191212918
2161230143161024291,IBRD13400,NPL,Fully Repaid,8.7,US,2025-12-01,,true,1026909656931908001
7520447975164695397,IBRD80260,FSL,Repaying,0,US,2025-12-01,,true,1416285433819200753
8111394846558335531,IBRD89680,FSL,Fully Disbursed,0,US,2025-12-01,,true,7573814426440489569
2639748272374306918,IBRD18490,NPL,Fully Repaid,8.25,US,2025-12-01,,true,6952560431860664271
4123826636652283581,IBRD39930,SCL,Fully Repaid,1.22,US,2025-12-01,,true,2954598492997064332
3798898914123100475,IBRD02320,NPL,Fully Repaid,0,US,2025-12-01,,true,7526516353217315715
3340285549282773262,IBRD36060,CPL,Fully Transferred,7.43,US,2025-12-01,,true,1183826903207247897
3799256922625992249,IBRD1691S,SCPD,Fully Repaid,7.9,US,2025-12-01,,true,8582637485563554831
8523855511727078691,IBRD94710,FSL,Disbursing,0,US,2025-12-01,,true,4011360499160354144
6562091546166757851,IBRD40450,SCL,Fully Repaid,1.65,US,2025-12-01,,true,2224574157312971548
6138117259032012996,IBRD16370,NPL,Fully Repaid,7.35,US,2025-12-01,,true,7281594321258819759
3979011378655831399,IBRD2590S,SCPM,Fully Repaid,3.96,US,2025-12-01,,true,4456295082896326402
2745693089533739890,IBRD1708S,SCPD,Fully Repaid,7.9,US,2025-12-01,,true,2274850649327378408
3063061447744948812,IBRD17440,NPL,Fully Repaid,7.9,US,2025-12-01,,true,7848397088883289520
4667936886649163969,IBRD32320,CPL,Fully Cancelled,7.1,US,2025-12-01,,true,7195626888566996501
4434521770908925196,IBRD79420,FSL,Repaying,0,US,2025-12-01,,true,3969819029707155752
8452432977342554525,IBRD07920,NPL,Fully Repaid,7.25,US,2025-12-01,,true,4361348745768070973
4376964582853311743,IBRD3028S,SCPD,Fully Repaid,5.11,US,2025-12-01,,true,2235217243195938380
2532833529247258939,IBRD19410,CPL,Fully Repaid,9.25,US,2025-12-01,,true,5382741754969496936
7819624611439914669,IBRD70200,FSL,Fully Repaid,0,US,2025-12-01,,true,4999966817949705181
6032918730225113025,IBRD2059S,SCPD,Fully Repaid,11.6,US,2025-12-01,,true,9090396088213362056
8910280473203406055,IBRD91160,FSL,Repaying,0,US,2025-12-01,,true,2810675853924811916
3233018485995223454,IBRD10971,NON POOL,Repaid,5.375,US,2025-12-01,,true,6163886560303523298
6807104179808331549,IBRD00840,NPL,Fully Repaid,4.75,US,2025-12-01,,true,2409834998907196331
3899098064165096077,IBRD2451S,SCPD,Fully Repaid,8.59,US,2025-12-01,,true,8206521476793199679
3264878867708133528,IBRD21460,CPL,Fully Repaid,11.6,US,2025-12-01,,true,7344189203416997445
3910987244817303977,IBRD33330,CPL,Fully Repaid,5.59,US,2025-12-01,,true,1915769418693309289
3246384105644153397,IBRD29720,CPL,Fully Repaid,5.59,US,2025-12-01,,true,1556772502788075623
7799261136738039830,IBRD11270,NPL,Fully Repaid,8.5,US,2025-12-01,,true,7455922525822623893
3187498845503801769,IBRD70490,FSL,Fully Repaid,0,US,2025-12-01,,true,6293599178991087547
5925602384815891983,IBRD74640,FSL,Fully Repaid,0,US,2025-12-01,,true,3558929501543343589
2143981150902313931,IBRD96590,FSL,Disbursing,0,US,2025-12-01,,true,3183398126705315589
2573285638218081151,IBRD48740,SCL,Fully Repaid,0.74,US,2025-12-01,,true,4502320080261773656
7409556046686025798,IBRD28620,CPL,Fully Repaid,4.62,US,2025-12-01,,true,8015963355287138432
8340513330117432222,IBRD35530,CPL,Fully Repaid,5.59,US,2025-12-01,,true,8731827749105025049
8195823564859038541,IBRD3971A,SCL,Fully Repaid,0.69,US,2025-12-01,,true,1862709637547660967
62390498886278854,IBRD33780,CPL,Fully Repaid,6.82,US,2025-12-01,,true,53936362463441581
5896651698671226311,IBRD19400,CPL,Fully Repaid,9.25,US,2025-12-01,,true,3111786661837086822
8076817491730122771,IBRD08870,NPL,Fully Repaid,7.25,US,2025-12-01,,true,4424115468459841347
8290948910011238197,IBRD31610,CPL,Fully Repaid,7.96,US,2025-12-01,,true,6449391650863721229
444444955513620850,IBRD03570,NPL,Fully Repaid,5.5,US,2025-12-01,,true,8312896752542916527
2744516235987339315,IBRD07518,NPL,Fully Repaid,7.25,US,2025-12-01,,true,9084300072093005071
829313793388538994,IBRD46640,SCL,Fully Repaid,0.87,US,2025-12-01,,true,8370469228865965991
5564138466488063860,IBRD2765S,SCPM,Fully Repaid,4.36,US,2025-12-01,,true,9195126059876942183
9041247247460513701,IBRD17510,NPL,Fully Repaid,7.9,US,2025-12-01,,true,8203052356147607564
8843047010088215488,IBRD13410,NPL,Fully Repaid,8.7,US,2025-12-01,,true,2764888597477261087
7946455679322854256,IBRD3629S,SCPD,Fully Repaid,4.47,US,2025-12-01,,true,7165598210759886669
6153866843544052030,IBRD17050,NPL,Fully Repaid,7.9,US,2025-12-01,,true,1702806825060176845
5156444930551703226,IBRD33540,CPL,Fully Repaid,6.82,US,2025-12-01,,true,7250635320970442778
7503319230925155245,IBRD3255S,SCPM,Fully Repaid,4.71,US,2025-12-01,,true,6736841072776161090
5672761443706562931,IBRD3307S,SCPM,Fully Repaid,5.91,US,2025-12-01,,true,4550510363714092530
7901598913425867659,IBRD78380,FSL,Repaying,0,US,2025-12-01,,true,7231264695120782586
4248234549508628635,IBRD3302S,SCPD,Fully Repaid,2.82,US,2025-12-01,,true,5033766604739558780
4678632790559263238,IBRD78450,FSL,Repaying,0,US,2025-12-01,,true,1614721169335385829
4517338528591136165,IBRD37080,CPL,Fully Repaid,3.08,US,2025-12-01,,true,202028258475001075
7650695983638919216,IBRD94880,FSL,Disbursing,0,US,2025-12-01,,true,5492653623729462280
4254146358282785946,IBRD40020,SCL,Fully Repaid,0,US,2025-12-01,,true,6505014227985220108
2066946565986927451,IBRD06660,NPL,Fully Repaid,7,US,2025-12-01,,true,6002146294419346680
694196295279760615,IBRD04050,NPL,Fully Repaid,5.5,US,2025-12-01,,true,4901886267223439823
222510576873948943,IBRD03390,NPL,Fully Repaid,5.5,US,2025-12-01,,true,458419022721232694
1296555666869457383,IBRD3589S,SCPD,Fully Repaid,2.7,US,2025-12-01,,true,342696237056835358
6007567614631919285,IBRD43580,SCL,Fully Repaid,0.21,US,2025-12-01,,true,1308053954228443745
2457365262224857854,IBRD15830,NPL,Fully Repaid,7.5,US,2025-12-01,,true,1416460303078215185
3941543819193972143,IBRD40610,CPL,Fully Repaid,6.82,US,2025-12-01,,true,5188116109620899697
2836282304599959155,IBRD29510,CPL,Fully Repaid,6.36,US,2025-12-01,,true,8563592722184245106
2306943411046881257,IBRD2581S,SCPM,Fully Repaid,4.36,US,2025-12-01,,true,420563226379330650
390197276682639822,IBRD80960,FSL,Fully Repaid,0,US,2025-12-01,,true,7988294943390315511
5097602435910944332,IBRD28290,CPL,Fully Repaid,6.18,US,2025-12-01,,true,8247209107748447947
4797780667378204113,IBRD26590,CPL,Fully Repaid,5.16,US,2025-12-01,,true,5888162871729920072
773612096453096736,IBRD42891,SCL,Fully Repaid,0.15,US,2025-12-01,,true,7420571183314308531
1010920782340566304,IBRD33950,CPL,Fully Repaid,5.59,US,2025-12-01,,true,1885550986148773885
3962881161073622412,IBRD73210,FSL,Fully Repaid,0,US,2025-12-01,,true,3472424596630191080
5253685488758156272,IBRD01220,NPL,Fully Repaid,4.75,US,2025-12-01,,true,7413421743226160131
7365120327242868854,IBRD41160,SCL,Fully Repaid,0.66,US,2025-12-01,,true,3197577645608463932
2846737885518886709,IBRD37000,CPL,Fully Repaid,7.89,US,2025-12-01,,true,853566481331575001
891707828947024114,IBRD29910,CPL,Fully Repaid,6.03,US,2025-12-01,,true,7811662580817016608
8423251417936353359,IBRD74810,FSL,Repaying,0,US,2025-12-01,,true,2688021373304439365
7690000496316651300,IBRD19730,CPL,Fully Repaid,9.6,US,2025-12-01,,true,3861997888808605315
2209632911077334696,IBRD81090,FSL,Repaying,0,US,2025-12-01,,true,5503866103626913755
5122926081201605242,IBRD3240S,SCPM,Fully Repaid,3.47,US,2025-12-01,,true,7232034035070562309
6410186275537417897,IBRD73750,FSL,Fully Repaid,0,US,2025-12-01,,true,6301603680133767706
1428586955138977955,IBRD21850,CPL,Fully Repaid,11.6,US,2025-12-01,,true,5894487167972021136
